California,39937500
Texas,29472300
Florida,21993000
New York,19440500
Pennsylvania,12820900
Illinois,12659700
Ohio,11747700
Georgia,10736100
North Carolina,10611900
Michigan,10045000
New Jersey,8936570
Virginia,8626210
Washington,7797100
Arizona,7378490
Massachusetts,6976600
Tennessee,6897580
Indiana,6745350
Missouri,6169270
Maryland,6083120
Wisconsin,5851750
Colorado,5845530
Minnesota,5700670
South Carolina,5210100
Alabama,4908620
Louisiana,4645180
Kentucky,4499690
Oregon,4301090
Oklahoma,3954820
Connecticut,3563080
Utah,3282120
Iowa,3179850
Nevada,3139660
Arkansas,3039000
Mississippi,2989260
Kansas,2910360
New Mexico,2096640
Nebraska,1952570
Idaho,1826160
West Virginia,1778070
Hawaii,1412690
New Hampshire,1371250
Maine,1345790
Montana,1086760
Rhode Island,1056160
Delaware,982895
South Dakota,903027
North Dakota,761723
Alaska,734002
Vermont,628061
Wyoming,567025
