Titles
"#185 - A Double Murder In Stereo Sound in Middletown, Connecticut"
"#184 - Some Dogs Find All The Legs in Streamwood, Illinois"
"#183 - A Stupid, Vicious, Unlucky Mess in Eddyville, Oregon"
"#182 - Two Shot Glasses Of Blood, Please in Pigeon Forge, Tennessee"
"#181 - A Bloody Path To A Monster in Enosburgh, Vermont"
"#180 - Dark & Dirty Motivation in Mustang, Oklahoma"
"#179 - Deep Beneath The Goat Heads in Gunnison, Colorado"
"#178 - Proud To Be Cruel in Middle River, Maryland"
"#177 - Sex, Deception, Death... And A Pig in Verdigre, Nebraska"
"#176 - Sicker Than The Average Strangler in Gaffney, South Carolina"
"#175 - Cruel, Unusual & Pointless in Newville, Pennsylvania"
"#174 - Open & Not So Shut in Belle Terre, New York"
"#173 - Three Is A Ring, Four Is A Crowd in Marmaduke, Arkansas"
"#172 - Natural Born Killer Idiots in Chubbuck, Idaho"
"#171 - Til Dismemberment Do Us Part in Decatur, Alabama"
Bonus Episode! Prisoner Dating Game - All Violent Felon Edition
"#170 - An Attempted Suburban Vampire Cult in St. Cloud, Minnesota"
"#169 - A Brutal, Silly & Victimless Murder in Layland, West Virginia"
"#168 - A Killer In The Cards in Mexborough, South Yorkshire, England"
"#167 - You'll Have To Chop Off More than That... in Antelope, California"
"#166 - Starting Your Own Religion Can Be Tricky in American Fork, Utah"
"#165 - Sex Tape Bait in Port Penn, Delaware"
"#164 - The Idiotic Avenger in Greenwood, Florida"
"#163 - Teenage Killer Lesbian Vampire Werewolves From Space in Humble, Texas"
"#162 - A Very Unstable Genius in Chatham Township, New Jersey"
"#161 - Killing On Consignment in Nashville, Michigan"
"#160 - Trust Me, I'm A Murderer in Festus, Missouri"
"#159 - You Can't Dismember Your Problems in Florence, Arizona"
"#158 - A Hollow Full Of Murder in Tiline, Kentucky"
"#157 -  Every Step You Take... in Jefferson, Wisconsin"
"#156 - Lies Can Be Deadly in Salem, Massachusetts"
